ensembl_gene_id	hgnc_symbol	gene_biotype	chromosome_name	start_position	end_position	gene_biotype
ENSG00000138613	APH1B	protein_coding	15	63568217	63601325	protein_coding
ENSG00000101470	TNNC2	protein_coding	20	44451853	44462384	protein_coding
ENSG00000134049	IER3IP1	protein_coding	18	44681413	44702745	protein_coding
ENSG00000011454	RABGAP1	protein_coding	9	125703112	125867145	protein_coding
ENSG00000128917	DLL4	protein_coding	15	41221538	41231237	protein_coding
ENSG00000124205	EDN3	protein_coding	20	57875482	57901047	protein_coding
ENSG00000198326	TMEM239	protein_coding	20	2795614	2800930	protein_coding
ENSG00000241690	""	protein_coding	20	2795614	2798712	protein_coding
ENSG00000258713	C20orf141	protein_coding	20	2795633	2796479	protein_coding
ENSG00000215474	SKOR2	protein_coding	18	44746293	44775554	protein_coding
ENSG00000188394	GPR21	protein_coding	9	125796806	125797975	protein_coding
ENSG00000101144	BMP7	protein_coding	20	55743804	55841685	protein_coding
ENSG00000180777	ANKRD30B	protein_coding	18	14728271	14852737	protein_coding
ENSG00000132635	PCED1A	protein_coding	20	2815960	2821836	protein_coding
ENSG00000175387	SMAD2	protein_coding	18	45357922	45457515	protein_coding
ENSG00000104043	ATP8B4	protein_coding	15	50150435	50475014	protein_coding
ENSG00000182511	FES	protein_coding	15	91426925	91439006	protein_coding
ENSG00000165209	STRBP	protein_coding	9	125871779	126030855	protein_coding
ENSG00000172785	CBWD1	protein_coding	9	121041	188979	protein_coding
ENSG00000170113	NIPA1	protein_coding	15	23043277	23100005	protein_coding
ENSG00000054796	SPO11	protein_coding	20	55904815	55919050	protein_coding
ENSG00000074410	CA12	protein_coding	15	63613577	63674360	protein_coding
ENSG00000183784	C9orf66	protein_coding	9	213108	215893	protein_coding
ENSG00000087495	PHACTR3	protein_coding	20	58152564	58422766	protein_coding
ENSG00000128965	CHAC1	protein_coding	15	41245160	41248710	protein_coding
ENSG00000067900	ROCK1	protein_coding	18	18526867	18691812	protein_coding
ENSG00000124104	SNX21	protein_coding	20	44462449	44471914	protein_coding
ENSG00000148204	CRB2	protein_coding	9	126118449	126142603	protein_coding
ENSG00000153666	GOLGA8I	protein_coding	15	23255242	23268823	protein_coding
ENSG00000101146	RAE1	protein_coding	20	55926066	55954267	protein_coding
ENSG00000215305	VPS16	protein_coding	20	2821349	2847378	protein_coding
ENSG00000101473	ACOT8	protein_coding	20	44470360	44486045	protein_coding
ENSG00000140284	SLC27A2	protein_coding	15	50474393	50528592	protein_coding
ENSG00000198033	TUBA3C	protein_coding	13	19747910	19755992	protein_coding
ENSG00000121388	""	protein_coding	13	19756173	19761496	protein_coding
ENSG00000128908	INO80	protein_coding	15	41271078	41408552	protein_coding
ENSG00000256222	MTRNR2L3	protein_coding	20	55933496	55934878	protein_coding
ENSG00000142192	APP	protein_coding	21	27252861	27543446	protein_coding
ENSG00000107099	DOCK8	protein_coding	9	214854	465259	protein_coding
ENSG00000132819	RBM38	protein_coding	20	55966463	55984389	protein_coding
ENSG00000166265	CYYR1	protein_coding	21	27838528	27945603	protein_coding
ENSG00000141449	GREB1L	protein_coding	18	18822203	19105378	protein_coding
ENSG00000119522	DENND1A	protein_coding	9	126141933	126692431	protein_coding
ENSG00000140287	HDC	protein_coding	15	50534144	50558223	protein_coding
ENSG00000140455	USP3	protein_coding	15	63796793	63886839	protein_coding
ENSG00000184828	ZBTB7C	protein_coding	18	45553044	45937123	protein_coding
ENSG00000132958	TPTE2	protein_coding	13	19997017	20110903	protein_coding
ENSG00000106689	LHX2	protein_coding	9	126763949	126795580	protein_coding
ENSG00000154734	ADAMTS1	protein_coding	21	28208066	28217728	protein_coding
ENSG00000259455	""	protein_coding	15	23405069	23414193	protein_coding
ENSG00000154736	ADAMTS5	protein_coding	21	28290231	28338832	protein_coding
ENSG00000261739	GOLGA8S	protein_coding	15	23599895	23612378	protein_coding
ENSG00000196074	SYCP2	protein_coding	20	58438618	58508710	protein_coding
ENSG00000178997	EXD1	protein_coding	15	41474923	41522941	protein_coding
ENSG00000196199	MPHOSPH8	protein_coding	13	20207788	20247599	protein_coding
ENSG00000156239	N6AMT1	protein_coding	21	30244513	30257693	protein_coding
ENSG00000196547	MAN2A2	protein_coding	15	91445448	91465814	protein_coding
ENSG00000268960	""	protein_coding	18	45778672	45779208	protein_coding
ENSG00000174450	GOLGA6L2	protein_coding	15	23684645	23692381	protein_coding
ENSG00000121390	PSPC1	protein_coding	13	20248896	20357142	protein_coding
ENSG00000107104	KANK1	protein_coding	9	470291	746105	protein_coding
ENSG00000269591	""	protein_coding	13	20268547	20269240	protein_coding
ENSG00000179455	MKRN3	protein_coding	15	23810454	23873064	protein_coding
ENSG00000119408	NEK6	protein_coding	9	127019885	127115586	protein_coding
ENSG00000137090	DMRT1	protein_coding	9	841690	969090	protein_coding
ENSG00000064218	DMRT3	protein_coding	9	976964	991731	protein_coding
ENSG00000134030	CTIF	protein_coding	18	46065417	46389588	protein_coding
ENSG00000128322	IGLL1	protein_coding	22	23915312	23922495	protein_coding
ENSG00000104064	GABPB1	protein_coding	15	50569389	50647605	protein_coding
ENSG00000254585	MAGEL2	protein_coding	15	23888691	23891175	protein_coding
ENSG00000132950	ZMYM5	protein_coding	13	20397622	20437776	protein_coding
ENSG00000182636	NDN	protein_coding	15	23930565	23932450	protein_coding
ENSG00000132801	ZSWIM3	protein_coding	20	44486256	44507761	protein_coding
ENSG00000185823	NPAP1	protein_coding	15	24920541	24928593	protein_coding
ENSG00000168612	ZSWIM1	protein_coding	20	44509866	44513905	protein_coding
ENSG00000173253	DMRT2	protein_coding	9	1050354	1057552	protein_coding
ENSG00000149634	SPATA25	protein_coding	20	44515128	44516274	protein_coding
ENSG00000187446	CHP1	protein_coding	15	41523037	41574043	protein_coding
ENSG00000136930	PSMB7	protein_coding	9	127115745	127177723	protein_coding
ENSG00000124257	NEURL2	protein_coding	20	44517264	44519926	protein_coding
ENSG00000198862	LTN1	protein_coding	21	30300466	30365270	protein_coding
ENSG00000104147	OIP5	protein_coding	15	41601466	41624819	protein_coding
ENSG00000088280	ASAP3	protein_coding	1	23755056	23811061	protein_coding
ENSG00000237683	""	protein_coding	1	134901	139379	protein_coding
ENSG00000235249	OR4F29	protein_coding	1	367640	368634	protein_coding
ENSG00000185097	OR4F16	protein_coding	1	621059	622053	protein_coding
ENSG00000269831	""	protein_coding	1	738532	739137	protein_coding
ENSG00000269308	""	protein_coding	1	818043	819983	protein_coding
ENSG00000187634	SAMD11	protein_coding	1	860260	879955	protein_coding
ENSG00000186409	CCDC30	protein_coding	1	42929001	43120335	protein_coding
ENSG00000174514	MFSD4	protein_coding	1	205538013	205572046	protein_coding
ENSG00000123473	STIL	protein_coding	1	47715811	47779819	protein_coding
ENSG00000158711	ELK4	protein_coding	1	205577071	205601090	protein_coding
ENSG00000163125	RPRD2	protein_coding	1	150335567	150449042	protein_coding
ENSG00000158715	SLC45A3	protein_coding	1	205626979	205649587	protein_coding
ENSG00000069275	NUCKS1	protein_coding	1	205681947	205719404	protein_coding
ENSG00000171960	PPIH	protein_coding	1	43124096	43142429	protein_coding
ENSG00000162368	CMPK1	protein_coding	1	47799469	47844511	protein_coding
ENSG00000268313	""	protein_coding	1	205682497	205684153	protein_coding
ENSG00000117280	RAB7L1	protein_coding	1	205737114	205744588	protein_coding
ENSG00000186790	FOXE3	protein_coding	1	47881744	47883723	protein_coding
ENSG00000186564	FOXD2	protein_coding	1	47901689	47906363	protein_coding
ENSG00000269113	TRABD2B	protein_coding	1	48226200	48462567	protein_coding
ENSG00000273395	""	protein_coding	1	48226979	48227290	protein_coding
ENSG00000269709	""	protein_coding	1	48569306	48569878	protein_coding
ENSG00000065978	YBX1	protein_coding	1	43148098	43168020	protein_coding
ENSG00000268179	""	protein_coding	1	861264	866445	protein_coding
ENSG00000117834	SLC5A9	protein_coding	1	48688357	48714316	protein_coding
ENSG00000133065	SLC41A1	protein_coding	1	205758221	205782876	protein_coding
ENSG00000188976	NOC2L	protein_coding	1	879584	894689	protein_coding
ENSG00000162415	ZSWIM5	protein_coding	1	45482071	45771881	protein_coding
ENSG00000186603	HPDL	protein_coding	1	45792545	45794347	protein_coding
ENSG00000143374	TARS2	protein_coding	1	150459887	150480078	protein_coding
ENSG00000162877	PM20D1	protein_coding	1	205797150	205819260	protein_coding
ENSG00000187961	KLHL17	protein_coding	1	895967	901095	protein_coding
ENSG00000007968	E2F2	protein_coding	1	23832922	23857712	protein_coding
ENSG00000117318	ID3	protein_coding	1	23884409	23886285	protein_coding
ENSG00000132122	SPATA6	protein_coding	1	48761044	48937845	protein_coding
ENSG00000197880	MDS2	protein_coding	1	23907985	23967058	protein_coding
ENSG00000187583	PLEKHN1	protein_coding	1	901877	911245	protein_coding
ENSG00000174502	SLC26A9	protein_coding	1	205882176	205912588	protein_coding
ENSG00000142676	RPL11	protein_coding	1	24018269	24022915	protein_coding
ENSG00000164007	CLDN19	protein_coding	1	43198764	43205925	protein_coding
ENSG00000187642	C1orf170	protein_coding	1	910579	917497	protein_coding
ENSG00000186094	AGBL4	protein_coding	1	48998527	50489585	protein_coding
ENSG00000196550	FAM72A	protein_coding	1	206136916	206155151	protein_coding
ENSG00000162373	BEND5	protein_coding	1	49193195	49242641	protein_coding
ENSG00000117385	LEPRE1	protein_coding	1	43212006	43232755	protein_coding
ENSG00000198049	AVPR1B	protein_coding	1	206223976	206231639	protein_coding
ENSG00000188290	HES4	protein_coding	1	934342	935552	protein_coding
ENSG00000196533	C1orf186	protein_coding	1	206238872	206288647	protein_coding
ENSG00000187608	ISG15	protein_coding	1	948803	949920	protein_coding
ENSG00000227839	""	protein_coding	1	50459990	50461874	protein_coding
ENSG00000196188	CTSE	protein_coding	1	206317459	206332104	protein_coding
ENSG00000117407	ARTN	protein_coding	1	44398992	44402913	protein_coding
ENSG00000188157	AGRN	protein_coding	1	955503	991496	protein_coding
ENSG00000132781	MUTYH	protein_coding	1	45794835	45806142	protein_coding
ENSG00000162374	ELAVL4	protein_coding	1	50513686	50669458	protein_coding
ENSG00000011007	TCEB3	protein_coding	1	24069645	24088549	protein_coding
ENSG00000143369	ECM1	protein_coding	1	150480538	150486265	protein_coding
ENSG00000163486	SRGAP2	protein_coding	1	206516200	206637783	protein_coding
ENSG00000117408	IPO13	protein_coding	1	44412611	44433694	protein_coding
ENSG00000057757	PITHD1	protein_coding	1	24104895	24114722	protein_coding
ENSG00000142700	DMRTA2	protein_coding	1	50883222	50889172	protein_coding
ENSG00000011009	LYPLA2	protein_coding	1	24117460	24122029	protein_coding
ENSG00000185104	FAF1	protein_coding	1	50905150	51425935	protein_coding
ENSG00000143466	IKBKE	protein_coding	1	206643791	206670223	protein_coding
ENSG00000132768	DPH2	protein_coding	1	44435672	44439041	protein_coding
ENSG00000162888	C1orf147	protein_coding	1	206664449	206671061	protein_coding
ENSG00000123080	CDKN2C	protein_coding	1	51426417	51440305	protein_coding
ENSG00000237330	RNF223	protein_coding	1	1006346	1009687	protein_coding
ENSG00000136653	RASSF5	protein_coding	1	206680879	206762616	protein_coding
ENSG00000204006	C1orf185	protein_coding	1	51567906	51613752	protein_coding
ENSG00000123091	RNF11	protein_coding	1	51701943	51739127	protein_coding
ENSG00000131591	C1orf159	protein_coding	1	1017198	1051741	protein_coding
ENSG00000143486	EIF2D	protein_coding	1	206744620	206785904	protein_coding
ENSG00000117410	ATP6V0B	protein_coding	1	44440159	44443967	protein_coding
ENSG00000143382	ADAMTSL4	protein_coding	1	150521884	150533413	protein_coding
ENSG00000085831	TTC39A	protein_coding	1	51752930	51810788	protein_coding
ENSG00000143479	DYRK3	protein_coding	1	206808881	206857764	protein_coding
ENSG00000117308	GALE	protein_coding	1	24122089	24127271	protein_coding
ENSG00000117411	B4GALT2	protein_coding	1	44444615	44456840	protein_coding
ENSG00000162889	MAPKAPK2	protein_coding	1	206858289	206907628	protein_coding
ENSG00000136634	IL10	protein_coding	1	206940947	206945839	protein_coding
ENSG00000225996	""	protein_coding	1	150521897	150524367	protein_coding
ENSG00000142224	IL19	protein_coding	1	206972215	207016324	protein_coding
ENSG00000203804	ADAMTSL4-AS1	protein_coding	1	150533480	150533969	protein_coding
ENSG00000132773	TOE1	protein_coding	1	45805342	45809647	protein_coding
ENSG00000143384	MCL1	protein_coding	1	150547032	150552066	protein_coding
ENSG00000162891	IL20	protein_coding	1	207038699	207042568	protein_coding
ENSG00000162571	TTLL10	protein_coding	1	1109264	1133315	protein_coding
ENSG00000085832	EPS15	protein_coding	1	51819935	51985000	protein_coding
ENSG00000162892	IL24	protein_coding	1	207070788	207077484	protein_coding
ENSG00000117305	HMGCL	protein_coding	1	24128375	24165110	protein_coding
ENSG00000070759	TESK2	protein_coding	1	45809555	45956872	protein_coding
ENSG00000162894	FAIM3	protein_coding	1	207077731	207096592	protein_coding
ENSG00000179163	FUCA1	protein_coding	1	24171567	24194784	protein_coding
ENSG00000143420	ENSA	protein_coding	1	150573327	150602088	protein_coding
ENSG00000162896	PIGR	protein_coding	1	207101863	207119811	protein_coding
ENSG00000188822	CNR2	protein_coding	1	24197016	24285549	protein_coding
ENSG00000189266	PNRC2	protein_coding	1	24285599	24289952	protein_coding
ENSG00000162897	FCAMR	protein_coding	1	207131310	207143970	protein_coding
ENSG00000186891	TNFRSF18	protein_coding	1	1138888	1142071	protein_coding
ENSG00000182795	C1orf116	protein_coding	1	207191866	207206101	protein_coding
ENSG00000186827	TNFRSF4	protein_coding	1	1146706	1149518	protein_coding
ENSG00000180667	YOD1	protein_coding	1	207217194	207226325	protein_coding
ENSG00000188529	SRSF10	protein_coding	1	24291294	24307417	protein_coding
ENSG00000078808	SDF4	protein_coding	1	1152288	1167411	protein_coding
ENSG00000143457	GOLPH3L	protein_coding	1	150618701	150669630	protein_coding
ENSG00000123836	PFKFB2	protein_coding	1	207222801	207254369	protein_coding
ENSG00000123843	C4BPB	protein_coding	1	207262187	207273338	protein_coding
ENSG00000143452	HORMAD1	protein_coding	1	150670536	150693364	protein_coding
ENSG00000176022	B3GALT6	protein_coding	1	1167629	1170421	protein_coding
ENSG00000184163	FAM132A	protein_coding	1	1177826	1182102	protein_coding
ENSG00000123838	C4BPA	protein_coding	1	207277607	207318317	protein_coding
ENSG00000117859	OSBPL9	protein_coding	1	52042851	52254889	protein_coding
ENSG00000160087	UBE2J2	protein_coding	1	1189289	1209265	protein_coding
ENSG00000142661	MYOM3	protein_coding	1	24382525	24438665	protein_coding
ENSG00000196352	CD55	protein_coding	1	207494853	207534311	protein_coding
ENSG00000163131	CTSS	protein_coding	1	150702672	150738433	protein_coding
ENSG00000117322	CR2	protein_coding	1	207627575	207663240	protein_coding
ENSG00000142677	IL22RA1	protein_coding	1	24446261	24469611	protein_coding
ENSG00000143387	CTSK	protein_coding	1	150768684	150780799	protein_coding
ENSG00000185436	IFNLR1	protein_coding	1	24480647	24514449	protein_coding
ENSG00000162572	SCNN1D	protein_coding	1	1215816	1227409	protein_coding
ENSG00000158055	GRHL3	protein_coding	1	24645812	24690972	protein_coding
ENSG00000203710	CR1	protein_coding	1	207669492	207813992	protein_coding
ENSG00000131584	ACAP3	protein_coding	1	1227756	1244989	protein_coding
ENSG00000197721	CR1L	protein_coding	1	207818458	207911761	protein_coding
ENSG00000078618	NRD1	protein_coding	1	52254863	52344477	protein_coding
ENSG00000001460	STPG1	protein_coding	1	24683489	24743424	protein_coding
ENSG00000143437	ARNT	protein_coding	1	150782181	150849244	protein_coding
ENSG00000001461	NIPAL3	protein_coding	1	24742284	24799466	protein_coding
ENSG00000117335	CD46	protein_coding	1	207925402	207968858	protein_coding
ENSG00000169972	PUSL1	protein_coding	1	1243947	1247057	protein_coding
ENSG00000169213	RAB3B	protein_coding	1	52373628	52456436	protein_coding
ENSG00000117602	RCAN3	protein_coding	1	24829387	24867530	protein_coding
ENSG00000117862	TXNDC12	protein_coding	1	52485803	52521843	protein_coding
ENSG00000184454	NCMAP	protein_coding	1	24882602	24935819	protein_coding
ENSG00000198841	KTI12	protein_coding	1	52497775	52499488	protein_coding
ENSG00000133226	SRRM1	protein_coding	1	24958207	24999758	protein_coding
ENSG00000134717	BTF3L4	protein_coding	1	52521797	52556388	protein_coding
ENSG00000174059	CD34	protein_coding	1	208057594	208084747	protein_coding
ENSG00000157077	ZFYVE9	protein_coding	1	52608046	52812358	protein_coding
ENSG00000143379	SETDB1	protein_coding	1	150898739	150937213	protein_coding
ENSG00000127054	CPSF3L	protein_coding	1	1246965	1260071	protein_coding
ENSG00000076356	PLXNA2	protein_coding	1	208195587	208417665	protein_coding
ENSG00000154222	CC2D1B	protein_coding	1	52811395	52831865	protein_coding
ENSG00000169504	CLIC4	protein_coding	1	25071848	25170815	protein_coding
ENSG00000008118	CAMK1G	protein_coding	1	209757062	209787283	protein_coding
ENSG00000085840	ORC1	protein_coding	1	52838501	52870131	protein_coding
ENSG00000143418	CERS2	protein_coding	1	150933059	150947479	protein_coding
ENSG00000196878	LAMB3	protein_coding	1	209788215	209825811	protein_coding
ENSG00000134748	PRPF38A	protein_coding	1	52870236	52886511	protein_coding
ENSG00000123689	G0S2	protein_coding	1	209848765	209849733	protein_coding
ENSG00000117594	HSD11B1	protein_coding	1	209859510	209908295	protein_coding
ENSG00000009790	TRAF3IP3	protein_coding	1	209929377	209955668	protein_coding
ENSG00000143412	ANXA9	protein_coding	1	150954493	150968110	protein_coding
ENSG00000134744	ZCCHC11	protein_coding	1	52873954	53019159	protein_coding
ENSG00000162757	C1orf74	protein_coding	1	209955661	209957904	protein_coding
ENSG00000117595	IRF6	protein_coding	1	209959036	209979465	protein_coding
ENSG00000143409	FAM63A	protein_coding	1	150969025	150980851	protein_coding
ENSG00000117597	DIEXF	protein_coding	1	210001352	210030910	protein_coding
ENSG00000224051	GLTPD1	protein_coding	1	1260136	1264277	protein_coding
ENSG00000116157	GPX7	protein_coding	1	53068044	53074723	protein_coding
ENSG00000143469	SYT14	protein_coding	1	210111538	210337636	protein_coding
ENSG00000182183	FAM159A	protein_coding	1	53099016	53135355	protein_coding
ENSG00000162377	COA7	protein_coding	1	53152508	53164038	protein_coding
ENSG00000169962	TAS1R3	protein_coding	1	1266694	1270686	protein_coding
ENSG00000162378	ZYG11B	protein_coding	1	53192126	53293014	protein_coding
ENSG00000107404	DVL1	protein_coding	1	1270656	1284730	protein_coding
ENSG00000082497	SERTAD4	protein_coding	1	210406144	210419976	protein_coding
ENSG00000203995	ZYG11A	protein_coding	1	53308183	53360670	protein_coding
ENSG00000054392	HHAT	protein_coding	1	210501596	210849638	protein_coding
ENSG00000143363	PRUNE	protein_coding	1	150980896	151008189	protein_coding
ENSG00000121310	ECHDC2	protein_coding	1	53361656	53392884	protein_coding
ENSG00000020633	RUNX3	protein_coding	1	25226002	25291612	protein_coding
ENSG00000143473	KCNH1	protein_coding	1	210856555	211307457	protein_coding
ENSG00000117614	SYF2	protein_coding	1	25549170	25558993	protein_coding
ENSG00000117625	RCOR3	protein_coding	1	211431719	211489727	protein_coding
ENSG00000162576	MXRA8	protein_coding	1	1288069	1297157	protein_coding
ENSG00000116171	SCP2	protein_coding	1	53392901	53517375	protein_coding
ENSG00000163141	BNIPL	protein_coding	1	151009046	151020076	protein_coding
ENSG00000082512	TRAF5	protein_coding	1	211499957	211548288	protein_coding
ENSG00000175756	AURKAIP1	protein_coding	1	1309110	1310875	protein_coding
ENSG00000198570	RD3	protein_coding	1	211649864	211666259	protein_coding
ENSG00000170385	SLC30A1	protein_coding	1	211744910	211752084	protein_coding
ENSG00000143443	C1orf56	protein_coding	1	151020216	151024462	protein_coding
ENSG00000117650	NEK2	protein_coding	1	211836114	211848960	protein_coding
ENSG00000174348	PODN	protein_coding	1	53527854	53551174	protein_coding
ENSG00000197622	CDC42SE1	protein_coding	1	151023447	151042801	protein_coding
ENSG00000145348	TBCK	protein_coding	4	106962756	107242652	protein_coding
ENSG00000196782	MAML3	protein_coding	4	140637907	141075338	protein_coding
ENSG00000137473	TTC29	protein_coding	4	147627790	147867034	protein_coding
ENSG00000169744	LDB2	protein_coding	4	16503164	16900432	protein_coding
ENSG00000160973	FOXH1	protein_coding	8	145698795	145701718	protein_coding
ENSG00000147853	AK3	protein_coding	9	4711155	4742043	protein_coding
ENSG00000258256	""	protein_coding	8	86134675	86157946	protein_coding
ENSG00000197465	GYPE	protein_coding	4	144792020	144826716	protein_coding
